case,vmin,vmax,line_max_%,trafo_max_%,dtap,q_mvar,frac,trafo_max_%,trafo_Trafo 0-1_%,trafo_Trafo 0-12_%,cap_bus,rebalance_trafo_idx
baseline,0.9229797752679386,1.03,96.95880689646795,101.41147271329632,0,0.0,1.0,101.41147271329632,101.41147271329632,84.69804754559212,,
cap_0.0MVAr,0.9229797752679386,1.03,96.95880689646795,101.41147271329632,0,0.0,1.0,101.41147271329632,101.41147271329632,84.69804754559212,11.0,
cap_1.0MVAr,0.9442146463012436,1.03,91.39400638941913,99.98544838577084,0,1.0,1.0,99.98544838577084,99.98544838577084,84.69804754559212,11.0,
cap_2.0MVAr,0.9627684142900952,1.03,90.36387756775413,98.74821808470128,0,2.0,1.0,98.74821808470128,98.74821808470128,84.69804754559212,11.0,
cap_3.0MVAr,0.9820053979475852,1.03,94.6936516423435,97.74029367655943,0,3.0,1.0,97.74029367655943,97.74029367655943,84.69804754520764,11.0,
rebalance_100pct,0.9229797752679386,1.03,96.95880689646795,101.41147271329632,0,0.0,1.0,101.41147271329632,101.41147271329632,84.69804754559212,,0.0
rebalance_95pct,0.9267683627153777,1.03,92.15406801213626,96.48143203314157,0,0.0,0.95,96.48143203314157,96.48143203314157,80.65652669691482,,0.0
rebalance_90pct,0.9304647945669022,1.03,87.41624582320536,91.58658710007619,0,0.0,0.9,91.58658710007619,91.58658710007619,76.63419674320254,,0.0
rebalance_85pct,0.9340718133137171,1.03,82.74622594093883,86.72824887998922,0,0.0,0.85,86.72824887998922,86.72824887998922,72.63278712764793,,0.0
cap_1.0MVAr+rebalance_95pct,0.9479287881259716,1.03,86.51066145039644,95.0399823275602,0,1.0,0.95,95.0399823275602,95.0399823275602,80.65652669691482,11.0,0.0
cap_1.0MVAr+rebalance_90pct,0.9515528091076045,1.03,81.67415392469702,90.12479860758239,0,1.0,0.9,90.12479860758239,90.12479860758239,76.63419674320254,11.0,0.0
cap_2.0MVAr+rebalance_95pct,0.9665213038832118,1.03,85.70165686969256,93.79490256069188,0,2.0,0.95,93.79490256069188,93.79490256069188,80.65652669691482,11.0,0.0
cap_2.0MVAr+rebalance_90pct,0.9701847158167081,1.03,81.09591422835388,88.86748414661989,0,2.0,0.9,88.86748414661989,88.86748414661989,76.63419674292548,11.0,0.0
